achievement,The Nobel Peace Prize is given to people who make great achievements .,
aspire,He has aspired to be in the Olympics since he was a young boy.,
exotic,The model has an exotic look.,
feat,The circus acrobats performed a dangerous feat, walking across a rope high in the air.
goal,The goal of this meeting is to make a the 100-meter dash.,
record,She holds the world record for decision.,
talent,Wayne has a great talent for riding horses.,
verify,The newspaper *verified* that the factory was closing.,
aggressive,Be careful; this dog is very aggressive and may bite.,
amateur,This class is for amateur photographers.,
coach,My coach wants me to run two miles before every practice.,
enthusiastic,I'm not very enthusiastic about doing the dinner dishes.,
professional, *Professional* football players must train hard.,
role model,Michael Jordan was my childhood *role model*.,
sense of humor,Jack got mad at the joke; he has no *sense of humor*.,
tournament,"The winner of the tournament receives a check for $100,000.",
